ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
1;Kota Sungai Penuh;Jambi;Area 1;Sumbagsel;4/65;7488;82367;75.42;96357;391.5;414326985;10248;0;2.78;41806;46893;59407;72385;37
2;Kab. Lampung Tengah;Lampung;Area 1;Lampung;10/301;71953;56156;70.16;1461172;3802.68;1259528176;11219;2442413;152.28;662539;943592;759070;1115607;705
3;Kab. Mesuji;Lampung;Area 1;Lampung;0/105;10578;52835;63.63;227265;2184;410246380;7984;2588912;14.72;95531;132091;114985;175374;71
4;Kab. Kepahiang;Bengkulu;Area 1;Sumbagsel;12/105;4321;31498;68.17;149484;665;403631660;9273;0;20.27;0;54865;80981;96905;46
5;Kab. Kerinci;Jambi;Area 1;Sumbagsel;2/285;10123;42413;71.21;250006;3355.27;570389068;9995;0;17.48;118080;28639;160714;187258;82
6;Kab. Lampung Utara;Lampung;Area 1;Lampung;15/232;24124;39105;67.67;632072;2725.87;888494843;8733;2461850;119.35;286377;388590;327835;437688;332
7;Kota Bandar Lampung;Lampung;Area 1;Lampung;126/-;59507;56593;77.44;1165039;296;1025122725;12197;2653223;93.74;475244;831424;773555;840657;986
8;Kab. Rejang Lebong;Bengkulu;Area 1;Sumbagsel;34/122;9370;35914;70.44;276392;1639.98;566437095;10234;0;41.47;0;105399;146340;192097;113
9;Kab. Pesisir Barat;Lampung;Area 1;Lampung;2/116;4649;30017;63.91;162444;2907.23;406509124;8457;2432002;22.24;73228;93156;81364;114132;70
10;Kota Gunungsitoli;Sumatera Utara;Area 1;Sumbagut;101;5514;38714;69.31;135764;280.78;408549541;7980;2603246;23.54;63815;46349;67251;96688;60
11;Kota Sibolga;Sumatera Utara;Area 1;Sumbagut;17/-;5532;63127;73.63;89331;41.31;393325325;11473;3004000;10.49;44305;43001;50546;69167;45
12;Kota Medan;Sumatera Utara;Area 1;Sumbagut;151/-;241482;105918;80.98;2436379;265.1;1560956851;14890;3222557;183.54;1134643;1369367;1599492;1948139;2512
13;Kota Tanjung Balai;Sumatera Utara;Area 1;Sumbagut;31/-;8951;51086;68.65;175774;107.83;412466823;11132;2822425;23.54;82977;72683;95592;138206;103
14;Kab. Nias;Sumatera Utara;Area 1;Sumbagut;-/170;3825;27562;61.93;146419;1842.51;419794128;6898;2560336;23.12;74942;28786;51622;81878;32
15;Kab. Nias Selatan;Sumatera Utara;Area 1;Sumbagut;3/457;6861;21449;61.89;360765;1825.2;628496268;6974;no data;53.88;165452;63645;123047;169852;54
16;Kab. Bintan;Kepulauan Riau;Area 1;Sumbagteng;15/36;21301;133630;74.13;159265;590.14;487690253;14482;3648714;10.21;51939;93450;110204;123392;251
17;Kab. Samosir;Sumatera Utara;Area 1;Sumbagut;6/128;4435;35144;70.63;136188;2069.05;422251066;8422;2648577;15.8;45588;37520;61362;87599;82
18;Kab. Seluma;Bengkulu;Area 1;Sumbagsel;20/182;4603;23752;66.89;207624;2400.44;477383614;8220;0;36.23;0;66410;100758;135296;73
19;Kota Payakumbuh;Sumatera Barat;Area 1;Sumbagteng;47/-;6829;50368;78.9;139323;85.22;423286932;13281;2913366;7.74;65892;78839;89816;115956;118
20;Kab. Lampung Selatan;Lampung;Area 1;Lampung;4/256;45108;44605;68.36;1063274;700.32;969397256;9875;2567168;143.33;445328;659934;554128;750583;600
