,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa
0,1,Kota Sungai Penuh,Jambi,Area 1,Sumbagsel,4/65,7488,82367,75.42,96357,391.5,414326985,10248.0,2930000.0,2.78,41806.0,46893,59407.0,72385.0,37.0
1,2,Kab. Lampung Tengah,Lampung,Area 1,Lampung,10/301,71953,56156,70.16,1461172,3802.68,1259528176,11219.0,2442413.0,152.28,662539.0,943592,759070.0,1115607.0,705.0
2,3,Kab. Mesuji,Lampung,Area 1,Lampung,0/105,10578,52835,63.63,227265,2184.0,410246380,7984.0,2588912.0,14.72,95531.0,132091,114985.0,175374.0,71.0
3,4,Kab. Kepahiang,Bengkulu,Area 1,Sumbagsel,12/105,4321,31498,68.17,149484,665.0,403631660,9273.0,2215000.0,20.27,1002160.0,54865,80981.0,96905.0,46.0
4,5,Kab. Kerinci,Jambi,Area 1,Sumbagsel,2/285,10123,42413,71.21,250006,3355.27,570389068,9995.0,2930000.0,17.48,118080.0,28639,160714.0,187258.0,82.0
5,6,Kab. Lampung Utara,Lampung,Area 1,Lampung,15/232,24124,39105,67.67,632072,2725.87,888494843,8733.0,2461850.0,119.35,286377.0,388590,327835.0,437688.0,332.0
6,7,Kota Bandar Lampung,Lampung,Area 1,Lampung,126/-,59507,56593,77.44,1165039,296.0,1025122725,12197.0,2653223.0,93.74,475244.0,831424,773555.0,840657.0,986.0
7,8,Kab. Rejang Lebong,Bengkulu,Area 1,Sumbagsel,34/122,9370,35914,70.44,276392,1639.98,566437095,10234.0,2215000.0,41.47,1002160.0,105399,146340.0,192097.0,113.0
8,9,Kab. Pesisir Barat,Lampung,Area 1,Lampung,2/116,4649,30017,63.91,162444,2907.23,406509124,8457.0,2432002.0,22.24,73228.0,93156,81364.0,114132.0,70.0
9,10,Kota Gunungsitoli,Sumatera Utara,Area 1,Sumbagut,101,5514,38714,69.31,135764,280.78,408549541,7980.0,2603246.0,23.54,63815.0,46349,67251.0,96688.0,60.0
10,11,Kota Sibolga,Sumatera Utara,Area 1,Sumbagut,17/-,5532,63127,73.63,89331,41.31,393325325,11473.0,3004000.0,10.49,44305.0,43001,50546.0,69167.0,45.0
11,12,Kota Medan,Sumatera Utara,Area 1,Sumbagut,151/-,241482,105918,80.98,2436379,265.1,1560956851,14890.0,3222557.0,183.54,1134643.0,1369367,1599492.0,1948139.0,2512.0
12,13,Kota Tanjung Balai,Sumatera Utara,Area 1,Sumbagut,31/-,8951,51086,68.65,175774,107.83,412466823,11132.0,2822425.0,23.54,82977.0,72683,95592.0,138206.0,103.0
13,14,Kab. Nias,Sumatera Utara,Area 1,Sumbagut,-/170,3825,27562,61.93,146419,1842.51,419794128,6898.0,2560336.0,23.12,74942.0,28786,51622.0,81878.0,32.0
14,15,Kab. Nias Selatan,Sumatera Utara,Area 1,Sumbagut,3/457,6861,21449,61.89,360765,1825.2,628496268,6974.0,3222526.0,53.88,165452.0,63645,123047.0,169852.0,54.0
15,16,Kab. Bintan,Kepulauan Riau,Area 1,Sumbagteng,15/36,21301,133630,74.13,159265,590.14,487690253,14482.0,3648714.0,10.21,51939.0,93450,110204.0,123392.0,251.0
16,17,Kab. Samosir,Sumatera Utara,Area 1,Sumbagut,6/128,4435,35144,70.63,136188,2069.05,422251066,8422.0,2648577.0,15.8,45588.0,37520,61362.0,87599.0,82.0
