,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa,log_PDRB,log_PDRB_Per_Kapita,log_Indeks_Pembangunan_Manusia,log_Dana_Alokasi_Umum,log_Pengeluaran_Riil_per_Kapita_ per_Tahun,log_Nilai_UMR,log_Jumlah_Penduduk_Miskin,log_Jumlah_Penduduk_Bekerja,log_Pengguna_Internet,log_Pemilik_Ponsel,log_Pengguna_Ponsel,log_Jumlah_Penduduk,Area_encode,Regional_Encode
0,1,Kota Sungai Penuh,Jambi,Area 1,Sumbagsel,4/65,7488,82367,75.42,96357,391.5,414326985,10248.0,2930000.0,2.78,41806.0,46893,59407.0,72385.0,37.0,8.921190556249368,11.3189522909558,4.336244442018754,19.842166041300956,9.234935418831563,14.89051332229012,1.3297240096314962,10.640819068607131,10.755645014480681,10.992184176416862,11.18976818950964,11.475825701013202,1,1
1,2,Kab. Lampung Tengah,Lampung,Area 1,Lampung,10/301,71953,56156,70.16,1461172,3802.68,1259528176,11219.0,2442413.0,152.28,662539.0,943592,759070.0,1115607.0,705.0,11.183782304932828,10.935906618469438,4.264930862797635,20.95400302508272,9.325453179076687,14.708497452453196,5.03226631422255,13.403836212378366,13.757450208090514,13.539850596139809,13.924910105738801,14.194750095769226,1,2
2,3,Kab. Mesuji,Lampung,Area 1,Lampung,0/105,10578,52835,63.63,227265,2184.0,410246380,7984.0,2588912.0,14.72,95531.0,132091,114985.0,175374.0,71.0,9.266626182986775,10.874948055543754,4.168678699274804,19.83226846644523,8.985320060649112,14.766748654461063,2.7549337870010606,11.467216548876578,11.791253928494895,11.652565660804143,12.074681817404763,12.33387641660197,1,2
3,4,Kab. Kepahiang,Bengkulu,Area 1,Sumbagsel,12/105,4321,31498,68.17,149484,665.0,403631660,9273.0,2215000.0,20.27,1002160.0,54865,80981.0,96905.0,46.0,8.371473537066832,10.357711078278063,4.236567242612494,19.81601328984863,9.134970064951407,14.61076341292854,3.0572976292121457,13.81766922636223,10.91264912781489,11.301982186737337,11.481496715466568,11.91495133233088,1,1
4,5,Kab. Kerinci,Jambi,Area 1,Sumbagsel,2/285,10123,42413,71.21,250006,3355.27,570389068,9995.0,2930000.0,17.48,118080.0,28639,160714.0,187258.0,82.0,9.222664121665014,10.65523377539901,4.27957854046309,20.161829263135992,9.209940291954844,14.89051332229012,2.916689066213538,11.679126108633128,10.262559621074582,11.987387888999912,12.140247964309872,12.429244196452391,1,1
5,6,Kab. Lampung Utara,Lampung,Area 1,Lampung,15/232,24124,39105,67.67,632072,2725.87,888494843,8733.0,2461850.0,119.35,286377.0,388590,327835.0,437688.0,332.0,10.091003926207186,10.57403118688622,4.229312422632585,20.605039402503312,9.074978734045507,14.716424063992614,4.790404164229081,12.565067895475696,12.870282655595519,12.7002687623246,12.989263891494671,13.356760172787766,1,2
6,7,Kota Bandar Lampung,Lampung,Area 1,Lampung,126/-,59507,56593,77.44,1165039,296.0,1025122725,12197.0,2653223.0,93.74,475244.0,831424,773555.0,840657.0,986.0,10.993866036277135,10.94365825150499,4.362334001328145,20.748078175052324,9.409027282856401,14.791286062273313,4.5511362974956056,13.071585739516793,13.630896375110435,13.55875334456468,13.6419401975074,13.968265979156461,1,2
7,8,Kab. Rejang Lebong,Bengkulu,Area 1,Sumbagsel,34/122,9370,35914,70.44,276392,1639.98,566437095,10234.0,2215000.0,41.47,1002160.0,105399,146340.0,192097.0,113.0,9.145375093123823,10.488910314508901,4.268857936568244,20.154876592549407,9.23356849809539,14.61076341292854,3.74879794432518,13.81766922636223,11.5655179150894,11.89369479381634,12.165760937458307,12.529579044939902,1,1
8,9,Kab. Pesisir Barat,Lampung,Area 1,Lampung,2/116,4649,30017,63.91,162444,2907.23,406509124,8457.0,2432002.0,22.24,73228.0,93156,81364.0,114132.0,70.0,8.444622498581403,10.30955248071626,4.173001695045377,19.82311693442467,9.042868018032435,14.704225755620065,3.1458749319837103,11.201346796356251,11.442041520817673,11.306700484094714,11.645119714016602,11.998094761922433,1,2
9,10,Kota Gunungsitoli,Sumatera Utara,Area 1,Sumbagut,101,5514,38714,69.31,135764,280.78,408549541,7980.0,2603246.0,23.54,63815.0,46349,67251.0,96688.0,60.0,8.615226931687603,10.563982400820825,4.25291403621107,19.828123742756546,8.984818995876008,14.772270069985831,3.2003044392827653,11.063759221590965,10.743976570994,11.11620203679882,11.479254921092949,11.818680728929381,1,3
10,11,Kota Sibolga,Sumatera Utara,Area 1,Sumbagut,17/-,5532,63127,73.63,89331,41.31,393325325,11473.0,3004000.0,10.49,44305.0,43001,50546.0,69167.0,45.0,8.618485442898109,11.052919690200872,4.312542571143296,19.790147628921538,9.347838885161817,14.915455624755587,2.4414770918606643,10.698875387042621,10.669001905221974,10.830658875506495,11.144293606907413,11.400115045340366,1,3
11,12,Kota Medan,Sumatera Utara,Area 1,Sumbagut,151/-,241482,105918,80.98,2436379,265.1,1560956851,14890.0,3222557.0,183.54,1134643.0,1369367,1599492.0,1948139.0,2512.0,12.394554356222294,11.570429930038655,4.406475315076191,21.168564836842073,9.608512282590205,14.985686012081919,5.21786624215041,13.941829503309522,14.129859877497717,14.285197261994519,14.482385629185357,14.70602388907807,1,3
12,13,Kota Tanjung Balai,Sumatera Utara,Area 1,Sumbagut,31/-,8951,51086,68.65,175774,107.83,412466823,11132.0,2822425.0,23.54,82977.0,72683,95592.0,138206.0,103.0,9.09963224999176,10.841285340694714,4.243482700225814,19.837666333837944,9.317668949728708,14.85310735677032,3.2003044392827653,11.326330791403096,11.193876556768947,11.467854874601327,11.836507840263078,12.076960047067361,1,3
13,14,Kab. Nias,Sumatera Utara,Area 1,Sumbagut,-/170,3825,27562,61.93,146419,1842.51,419794128,6898.0,2560336.0,23.12,74942.0,28786,51622.0,81878.0,32.0,8.249575150000199,10.224229572614233,4.1420229975388425,19.85527498002195,8.839131752546109,14.755649448416879,3.1830413718589847,11.22448310357204,10.267679175328517,10.851722588592787,11.31299782670602,11.894234483200634,1,3
